precipitation_id,precipitation_type,precipitation_in
1,Rain,0.24
2,None,0.00
3,Rain,0.12
4,None,0.00
5,None,0.00
6,None,0.00
7,Rain,0.34
8,Rain,0.62
9,None,0.00
10,Rain,0.02
11,Rain,0.02
12,Rain,0.08
13,None,0.00
14,Rain,0.09
15,Rain,0.03
16,None,0.00
17,None,0.00
18,None,0.00
19,None,0.00
20,None,0.00
21,Rain,0.01
22,None,0.00
23,Rain,0.53
24,Rain,0.03
25,Rain,1.38
26,None,0.00
27,Rain,0.01
28,None,0.00
29,None,0.00
30,Rain,0.06
31,Rain,0.03
32,None,0.00
33,Rain,0.10
34,None,0.00
35,None,0.00
36,None,0.00
37,None,0.00
38,None,0.00
39,None,0.00
40,None,0.00
41,None,0.00
42,None,0.00
43,None,0.00
44,Rain,0.17
45,Rain,0.02
46,None,0.00
47,None,0.00
48,None,0.00
49,None,0.00
50,None,0.00
51,None,0.00
52,Rain,0.01
53,None,0.00
54,None,0.00
55,None,0.00
56,None,0.00
57,None,0.00
58,Rain,0.23
59,None,0.00
60,None,0.00
61,Rain,0.26
62,None,0.00
63,None,0.00
64,None,0.00
65,None,0.00
66,None,0.00
67,Rain,0.45
68,Rain,0.34
69,Rain,0.13
70,Rain,0.32
71,None,0.00
72,None,0.00
73,None,0.00
74,None,0.00
75,Rain,0.79
76,Rain,0.02
77,None,0.00
78,None,0.00
79,None,0.00
80,None,0.00
81,None,0.00
82,Rain,0.01
83,None,0.00
84,None,0.00
85,None,0.00
86,None,0.00
87,None,0.00
88,Rain,0.04
89,None,0.00
90,Rain,0.27
91,Rain,0.01
92,None,0.00
93,Rain,0.06
94,None,0.00
95,None,0.00
96,None,0.00
97,Rain,0.01
98,Rain,0.11
99,Rain,0.05
100,Rain,0.13
101,None,0.00
102,Rain,0.16
103,None,0.00
104,None,0.00
105,None,0.00
106,None,0.00
107,None,0.00
108,None,0.00
109,Rain,0.13
110,None,0.00
111,None,0.00
112,Rain,0.12
113,None,0.00
114,None,0.00
115,None,0.00
116,Rain,0.57
117,Rain,0.13
118,None,0.00
119,Rain,1.08
120,None,0.00
121,Rain,0.11
122,None,0.00
123,None,0.00
124,Rain,0.04
125,Rain,0.01
126,None,0.00
127,None,0.00
128,Snow,0.01
129,None,0.00
130,Snow,0.12
131,None,0.00
132,None,0.00
133,None,0.00
134,None,0.00
135,Rain,0.74
136,None,0.00
137,None,0.00
138,None,0.00
139,Rain,0.27
140,None,0.00
141,None,0.00
142,Rain,0.01
143,None,0.00
144,None,0.00
145,None,0.00
146,Rain,0.87
147,Rain,1.03
148,None,0.00
149,Rain,0.16
150,None,0.00
151,Rain,0.04
152,Null,Null
153,None,0.02
154,None,0.00
155,None,0.00
156,None,0.00
157,None,0.00
158,None,0.00
159,None,0.00
160,None,0.00
161,None,0.00
162,None,0.00
163,Rain,0.06
164,None,0.00
165,None,0.00
166,Rain,0.02
167,None,0.00
168,Rain,0.02
169,None,0.00
170,None,0.00
171,None,0.00
172,Rain,0.01
173,None,0.00
174,Snow,4.90
175,None,0.00
176,Rain,0.97
177,Rain,0.15
178,Rain,0.01
179,Rain,1.13
180,Rain,0.89
181,None,0.00
182,None,0.00
183,None,0.00
184,Rain,0.13
185,None,0.00
186,None,0.00
187,None,0.00
188,None,0.00
189,None,0.00
190,None,0.00
191,Rain,1.78
192,Rain,0.08
193,Rain,0.02
194,Rain,1.37
195,Rain,0.32
196,Rain,0.01
197,Rain,0.02
198,None,0.00
199,None,0.00
200,Rain,0.01
201,None,0.00
202,None,0.00
203,None,0.00
204,None,0.00
205,None,0.00
206,Rain,0.04
207,Rain,0.02
208,None,0.00
209,Rain,0.04
210,Rain,0.16
211,Rain,0.32
212,Rain,0.17
213,Rain,0.23
214,None,0.00
215,None,0.00
216,Rain,0.09
217,None,0.00
218,Rain,0.38
219,Snow,0.22
220,Rain,0.77
221,Rain,0.31
222,Rain,0.14
223,Rain,0.15
224,Rain,0.79
225,None,0.00
226,Rain,0.01
227,None,0.00
228,None,0.00
229,None,0.00
230,None,0.00
231,None,0.00
232,None,0.00
233,None,0.00
234,Rain,0.34
235,Rain,0.01
236,None,0.00
237,Rain,0.02
238,Rain,1.21
239,None,0.00
240,None,0.00
